127.0.0.1 - - [24/Apr/2023:00:36:14 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [24/Apr/2023:00:36:16 +0530] "GET /Project4/ HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [24/Apr/2023:00:36:16 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [24/Apr/2023:00:36:21 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [24/Apr/2023:00:36:23 +0530] "GET /Project4/LoginCtl HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [24/Apr/2023:00:36:28 +0530] "GET /Project4/ForgetPasswordCtl HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [24/Apr/2023:00:39:26 +0530] "GET /Project4/LoginCtl HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [24/Apr/2023:00:40:05 +0530] "GET /Project4/ForgetPasswordCtl HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [24/Apr/2023:00:51:33 +0530] "POST /Project4/ForgetPasswordCtl HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [24/Apr/2023:00:56:25 +0530] "POST /Project4/ForgetPasswordCtl HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [24/Apr/2023:01:09:52 +0530] "POST /Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:01:09:52 +0530] "GET /Project4/ForgetPasswordCtl HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [24/Apr/2023:01:10:41 +0530] "POST /Project4/ForgetPasswordCtl HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [24/Apr/2023:01:10:41 +0530] "POST /Project4/ForgetPasswordCtl HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [24/Apr/2023:01:10:46 +0530] "GET /Project4/LoginCtl HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [24/Apr/2023:01:10:50 +0530] "GET /Project4/ForgetPasswordCtl HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [24/Apr/2023:02:01:33 +0530] "GET /Project4/LoginCtl HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [24/Apr/2023:02:01:34 +0530] "GET /Project4/LoginCtl HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [24/Apr/2023:02:01:49 +0530] "POST /Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:02:01:49 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 3328
0:0:0:0:0:0:0:1 - - [24/Apr/2023:02:01:54 +0530] "GET /Project4/LoginCtl?operation=logout HTTP/1.1" 200 3094
0:0:0:0:0:0:0:1 - - [24/Apr/2023:02:04:34 +0530] "GET /Project4/ctl/MyProfileCtl HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [24/Apr/2023:02:08:35 +0530] "POST /Project4/LoginCtl HTTP/1.1" 302 -
