0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:30:48 +0530] "GET /Project4/ctl/UserCtl?id=4 HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:30:59 +0530] "POST /Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:30:59 +0530] "GET /Project4/ctl/UserCtl HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:30:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:31:04 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:31:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:31:06 +0530] "GET /Project4/ctl/UserCtl?id=5 HTTP/1.1" 200 8901
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:31:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:34:21 +0530] "POST /Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:34:21 +0530] "GET /Project4/ctl/UserCtl HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:34:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:35:30 +0530] "POST /Project4/ctl/UserCtl HTTP/1.1" 200 9527
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:35:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:35:39 +0530] "POST /Project4/ctl/UserCtl HTTP/1.1" 200 9512
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:35:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:38:58 +0530] "POST /Project4/ctl/UserCtl HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:38:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:39:01 +0530] "POST /Project4/ctl/UserCtl HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [11/Jun/2023:01:39:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
