127.0.0.1 - - [17/Jun/2023:13:10:43 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:10:44 +0530] "GET /Project4/ HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:11:16 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:11:24 +0530] "GET /Project4/LoginCtl HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:11:37 +0530] "POST /Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:11:37 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:11:43 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 9957
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:11:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:12:49 +0530] "GET /Project4/LoginCtl?operation=logout HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:13:59 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:14:01 +0530] "GET /Project4/LoginCtl HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:24:27 +0530] "POST /Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:24:27 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:33:04 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:33:13 +0530] "POST /Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:33:13 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 9957
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:33:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:37:46 +0530] "GET /Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:37:46 +0530] "GET /Project4/doc/module-search-index.zip HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:37:46 +0530] "GET /Project4/doc/tag-search-index.zip HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:37:46 +0530] "GET /Project4/doc/module-search-index.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:37:46 +0530] "GET /Project4/doc/tag-search-index.js HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:37:49 +0530] "GET /Project4/doc/in/co/rays/proj4/controller/package-summary.html HTTP/1.1" 200 13023
